Team,Top,Jungle,Mid,Adc,Support
SANDBOX Gaming,Aatrox,Trundle,Azir,MissFortune,TahmKench
T1,Jayce,Olaf,Azir,MissFortune,Nautilus
DRX,Ornn,LeeSin,Azir,Ezreal,Thresh
Afreeca Freecs,Renekton,JarvanIV,Zoe,Aphelios,Nautilus  
Invictus Gaming,Aatrox,LeeSin,Orianna,Aphelios,Thresh   
LGD Gaming,Ornn,LeeSin,TwistedFate,Ezreal,Leona
LNG Esports,Mordekaiser,Olaf,Zoe,Aphelios,Braum
eStar,Ornn,JarvanIV,Rumble,Varus,Thresh
Rogue Warriors,Renekton,RekSai,Azir,Ashe,Thresh
Oh My God,Renekton,LeeSin,Zoe,Aphelios,Thresh
Vici Gaming,Mordekaiser,Graves,Zoe,MissFortune,Nautilus
Bilibili Gaming,Ornn,Trundle,Azir,Aphelios,Nautilus
Dominus Esports,Aatrox,LeeSin,Cassiopeia,MissFortune,Nautilus
Victory Five,Renekton,Graves,Zoe,Ashe,Thresh
Suning,Renekton,JarvanIV,Syndra,MissFortune,Leona
FunPlus Phoenix,Aatrox,LeeSin,Sylas,MissFortune,Nautilus
Top Esports,Ornn,LeeSin,Syndra,MissFortune,Thresh
JD Gaming,Ornn,LeeSin,Zoe,Ezreal,Bard
Team WE,Renekton,Graves,AurelionSol,Ezreal,Thresh
Royal Never Give Up,MonkeyKing,LeeSin,TwistedFate,Ashe,Nautilus
EDward Gaming,Ornn,LeeSin,Azir,MissFortune,Nautilus
Misfits Premier,Renekton,Nidalee,Leblanc,MissFortune,Thresh
GameWard,Kennen,LeeSin,Cassiopeia,MissFortune,Thresh
Solary,Ornn,RekSai,Cassiopeia,Senna,Thresh
Vitality.Bee,Aatrox,Gragas,Azir,Ezreal,Braum
GamersOrigin,Ornn,LeeSin,Cassiopeia,Aphelios,Thresh
LDLC OL,Sett,LeeSin,Leblanc,Ezreal,Nautilus
G2 Esports,Ornn,LeeSin,Syndra,Ezreal,Nautilus
SK Gaming,Sion,Gragas,Azir,Ezreal,Thresh
Rogue,Ornn,Olaf,Azir,Aphelios,TahmKench
Excel Esports,Kayle,Sett,Leblanc,Ezreal,Thresh
Fnatic,Gangplank,Gragas,Orianna,Senna,Thresh
