Team,Top,Jungle,Mid,Adc,Support
T1,Jayce,Olaf,Azir,MissFortune,Nautilus
SANDBOX Gaming,Aatrox,Trundle,Azir,MissFortune,TahmKench
Afreeca Freecs,Renekton,Trundle,Zoe,Aphelios,Nautilus
DRX,Renekton,LeeSin,Azir,Ezreal,Thresh
FunPlus Phoenix,Aatrox,LeeSin,Sylas,MissFortune,Nautilus
LNG Esports,Mordekaiser,Olaf,Zoe,Aphelios,Braum
LGD Gaming,Ornn,LeeSin,TwistedFate,Ezreal,Leona
Rogue Warriors,Renekton,Graves,Azir,Ashe,Thresh
eStar,Ornn,JarvanIV,Azir,Varus,Thresh
JD Gaming,Ornn,LeeSin,Zoe,Ashe,Bard
Bilibili Gaming,Ornn,Trundle,Zoe,Aphelios,Nautilus
Vici Gaming,Mordekaiser,Trundle,Zoe,MissFortune,Nautilus
Dominus Esports,Camille,LeeSin,Cassiopeia,MissFortune,Nautilus
Invictus Gaming,Aatrox,LeeSin,Orianna,Aphelios,Nautilus
EDward Gaming,Ornn,LeeSin,Azir,MissFortune,Nautilus
Suning,Renekton,JarvanIV,Zoe,MissFortune,Leona
Top Esports,Ornn,LeeSin,Syndra,MissFortune,Thresh
Team WE,Renekton,Graves,AurelionSol,Ezreal,Thresh
Royal Never Give Up,MonkeyKing,LeeSin,Orianna,Ashe,Nautilus
IZI Dream,Mordekaiser,JarvanIV,Zoe,MissFortune,Nautilus
Team MCES,Gnar,JarvanIV,Velkoz,MissFortune,Bard
GamersOrigin,Ornn,LeeSin,Cassiopeia,Aphelios,Thresh
LDLC OL,Sett,LeeSin,Leblanc,Ezreal,Nautilus
GameWard,Camille,LeeSin,Cassiopeia,MissFortune,Nautilus
Solary,Ornn,RekSai,Cassiopeia,Senna,Thresh
MAD Lions,Maokai,LeeSin,Orianna,Ezreal,Rakan
Team Vitality,Sion,Gragas,Leblanc,Aphelios,Thresh
Misfits Gaming,Aatrox,LeeSin,Azir,Aphelios,Braum
FC Schalke 04 Esports,Renekton,Sejuani,Azir,Ashe,Nautilus
Origen,Gangplank,Sett,Orianna,Aphelios,TahmKench
Dignitas Academy,Aatrox,LeeSin,Zoe,MissFortune,Thresh
Team Liquid Academy,Gangplank,Olaf,Sylas,Aphelios,Nautilus
Immortals Academy,Aatrox,LeeSin,Zoe,Ezreal,Yuumi
CLG Academy,Gangplank,Vi,Orianna,Aphelios,Rakan
100 Thieves Academy,Aatrox,LeeSin,Orianna,Ashe,Nautilus
Flamengo Esports,Renekton,LeeSin,Zoe,Varus,Thresh
Rogue,Renekton,Olaf,Azir,Aphelios,TahmKench
Vivo Keyd,Ornn,Olaf,Azir,Ezreal,Braum
Redemption eSports Porto Alegre,Renekton,Elise,Kassadin,Aphelios,Thresh
KaBuM! e-Sports,Renekton,Trundle,Azir,Aphelios,Nautilus
G2 Esports,Ornn,LeeSin,Syndra,Ezreal,Nautilus
Team Liquid,Mordekaiser,LeeSin,Azir,Ashe,Nautilus
Dignitas,Renekton,Olaf,Zoe,Ashe,TahmKench
Golden Guardians,Mordekaiser,Volibear,Zoe,Aphelios,Thresh
FlyQuest,Ornn,Volibear,Orianna,Ashe,Rakan
Cloud9 Academy,Gangplank,Sett,Zoe,MissFortune,Thresh
FURIA Esports,Renekton,Trundle,Azir,Aphelios,Nautilus
paiN Gaming,Renekton,Olaf,Leblanc,Aphelios,Thresh
Evil Geniuses,Aatrox,Gragas,Leblanc,Aphelios,TahmKench
Immortals,Ornn,Graves,Zoe,Ezreal,Nautilus
Cloud9,Gangplank,LeeSin,Zoe,Aphelios,TahmKench
Counter Logic Gaming,Aatrox,Sett,Syndra,MissFortune,Nautilus
TSM Academy,Gangplank,Trundle,Azir,MissFortune,Braum
100 Thieves,Aatrox,Olaf,Syndra,Ashe,Nautilus
Team SoloMid,Gangplank,Gragas,Zilean,Ashe,Rakan
Misfits Premier,Renekton,Nidalee,Leblanc,MissFortune,Thresh
Legacy Esports,Gangplank,Trundle,Chogath,Ezreal,Bard
ORDER,Renekton,Olaf,Orianna,Ezreal,Nautilus
Chiefs Esports Club,Camille,LeeSin,Leblanc,MissFortune,Nautilus
Dire Wolves,Camille,JarvanIV,Orianna,MissFortune,Bard
EVOS Esports,Renekton,Trundle,Orianna,MissFortune,Braum
Team Flash,Ornn,Nidalee,Syndra,Ezreal,Yuumi
CERBERUS Esports,Renekton,Trundle,Orianna,Aphelios,Thresh
GAM Esports,Renekton,LeeSin,Syndra,Ashe,Thresh
Fnatic,Gangplank,Gragas,Orianna,Senna,Thresh
FlyQuest Academy,Sett,LeeSin,Azir,MissFortune,Nautilus
Golden Guardians Academy,Gangplank,Graves,Orianna,Ashe,Braum
MAMMOTH,Renekton,JarvanIV,Ahri,Ezreal,Nautilus
Pentanet.GG,Ornn,Volibear,Kassadin,Aphelios,Nautilus
Avant Gaming,Ornn,LeeSin,Lucian,Aphelios,Nautilus
