redteam
T1
SANDBOX Gaming
Afreeca Freecs
DRX
FunPlus Phoenix
LNG Esports
LGD Gaming
Rogue Warriors
eStar
JD Gaming
Bilibili Gaming
Vici Gaming
Dominus Esports
Invictus Gaming
EDward Gaming
Suning
Top Esports
Team WE
Royal Never Give Up
IZI Dream
Team MCES
GamersOrigin
LDLC OL
GameWard
Solary
MAD Lions
Team Vitality
Misfits Gaming
FC Schalke 04 Esports
Origen
Dignitas Academy
Team Liquid Academy
Immortals Academy
CLG Academy
100 Thieves Academy
Flamengo Esports
Rogue
Vivo Keyd
Redemption eSports Porto Alegre
KaBuM! e-Sports
G2 Esports
Team Liquid
Dignitas
Golden Guardians
FlyQuest
Cloud9 Academy
FURIA Esports
paiN Gaming
Evil Geniuses
Immortals
Cloud9
Counter Logic Gaming
TSM Academy
100 Thieves
Team SoloMid
Misfits Premier
Legacy Esports
ORDER
Chiefs Esports Club
Dire Wolves
EVOS Esports
Team Flash
CERBERUS Esports
GAM Esports
Fnatic
FlyQuest Academy
Golden Guardians Academy
MAMMOTH
Pentanet.GG
Avant Gaming
Saigon Buffalo
Papara SuperMassive
V Gaming Adonis
İstanbul Wildcats
5 Ronin
FTV Esports
Lowkey Esports.Vietnam
Galakticos
INTZ
Prodigy Esports
Dark Passage
Team AURORA
İstanbul Wildcats Academy
5 Ronin Academy
Galakticos Academy
Evil Geniuses Academy
Havan Liberty Gaming
Team oNe eSports
Intergalaxy Tigers Gaming
Dark Passage Academy
Team AURORA Academy
RED Canids
Santos e-Sports
DAMWON Gaming
Gen.G
KT Rolster
Vitality.Bee
Seorabeol Gaming
hyFresh Blade
SeolHaeOne Prince
Team Dynamics
OZ Gaming
Griffin
SuperMassive Academy
Jin Air Green Wings
Element Mystic
Spear Gaming
Asura
Hanwha Life Esports
Royal Youth Academy
1907 Fenerbahçe Academy
Beşiktaş Academy
SK Gaming
Excel Esports
V3 Esports
Gravitas
AXIZ
DetonatioN FocusMe
Fukuoka SoftBank Hawks gaming
Royal Youth
Rascal Jester
1907 Fenerbahçe Esports
Beşiktaş Esports
Sengoku Gaming
Burning Core
Team Secret
Infinity Esports
All Knights
Pixel Esports Club
Rainbow7
Azules Esports
Vega Squadron
Gambit Esports
CrowCrowd
M19
XTEN Esports
Furious Gaming
Isurus
Crest Gaming Act
RoX
Unicorns Of Love.CIS
J Team
Resurgence
Hong Kong Attitude
Machi Esports
Dragon Army
Nova Esports
Liyab Esports
ahq eSports Club
Talon Esports
Falkol
Alpha Esports
Berjaya Dragons
Elements Pro Gaming
Oh My God
Victory Five
Vipers Inc
MAD Lions Madrid
Intrepid Fox Gaming
K1ck Neosurf
Sector One
ASUS ROG ELITE
Electronik Generation
For The Win Esports
Team GamerLegion
Cyber Gaming
Defusekids
WLGaming Esports
eSuba
Racoon
PIGSPORTS
Kenty
Rogue Warriors Shark
Joy Dream
Royal Club
Dominus Esports Young
Victorious Gaming
eStar Young
FunPlus Phoenix Blaze
Invictus Gaming Young
WanZhen Esports Club
V5 87
Triumphant Song Gaming
All Combo
Legend Esport Gaming
Suning-S
LinGan e-Sports
Oh My Dream
Team WE Academy
Vici Gaming Potential
Shu Dai Xiong Gaming
EDG Youth Team
Bilibili Gaming Junior
LGD Gaming Young Team
Gama Dream
Young Miracles
LNG Academy
FC Schalke 04 Evolution
mousesports
Fnatic Rising
Vodafone Giants.Spain
Team Singularity
SuppUp eSports
AGO ROGUE
YDN Gamers
BT Excel
Movistar Riders
Rensga eSports
unknown team
Havan Liberty Academy
UQ Union
RMIT Redbacks
Dire Cubs
Gravitas Academy
Mammoth Academy
WhereAreyouFrom
UTS Esports
Pentanet.GG Rise
RunAway
ORDER Academy
QUT Tigers
Galatasaray Esports
Galatasaray Academy
Top Esports Challenger
optical spectrum E-sports
JingNetGame
Legacy Genesis
Chiefs Academy
Awesome Spear
ESC Shane
OverPower Esports
Percent Esports
PSG Talon
One Breath Gaming
SAMCLAN Esports Club
G2 Arctic
Five Kings
LowLandLions
Iron Wolves
7more7 Pompa Team
SINNERS Esports
Riddle Esports
EGN Esports
Samsung Morning Stars
