name,winRate
Aatrox,47.7
Ahri,40.0
Akali,51.53
Alistar,49.31
Amumu,100.0
Anivia,37.5
Annie,0.0
Aphelios,54.08
Ashe,49.02
AurelionSol,41.67
Azir,46.04
Bard,58.89
Blitzcrank,50.19
Brand,0.0
Braum,49.17
Caitlyn,54.59
Camille,57.59
Cassiopeia,50.7
Chogath,45.83
Corki,49.36
Darius,57.58
Diana,46.6
Draven,55.36
DrMundo,66.67
Ekko,50.82
Elise,47.61
Evelynn,60.0
Ezreal,49.04
Fiddlesticks,45.28
Fiora,48.6
Fizz,50.0
Galio,50.64
Gangplank,49.19
Garen,33.33
Gnar,42.35
Gragas,51.61
Graves,51.18
Hecarim,54.64
Heimerdinger,48.0
Illaoi,22.22
Irelia,48.91
Ivern,12.5
Janna,38.71
JarvanIV,47.95
Jax,45.52
Jayce,48.64
Jhin,44.51
Jinx,43.18
Kaisa,37.99
Kalista,52.35
Karma,43.49
Karthus,53.67
Kassadin,48.94
Katarina,0.0
Kayle,56.18
Kayn,28.57
Kennen,46.72
Khazix,50.43
Kindred,50.68
Kled,45.65
KogMaw,38.1
Leblanc,53.19
LeeSin,46.56
Leona,46.74
Lillia,44.52
Lissandra,55.15
Lucian,46.62
Lulu,45.16
Lux,54.91
Malphite,50.37
Malzahar,58.62
Maokai,47.29
MasterYi,0.0
MissFortune,48.59
MonkeyKing,54.95
Mordekaiser,49.94
Morgana,56.15
Nami,14.29
Nasus,0
Nautilus,49.14
Neeko,45.6
Nidalee,55.22
Nocturne,47.83
Nunu,61.9
Olaf,49.42
Orianna,47.75
Ornn,48.24
Pantheon,50.5
Poppy,54.74
Pyke,35.9
Qiyana,55.75
Quinn,43.48
Rakan,53.64
Rammus,100.0
RekSai,49.68
Renekton,52.74
Rengar,100.0
Riven,61.54
Rumble,47.31
Ryze,44.9
Sejuani,48.02
Senna,52.11
Sett,50.5
Shaco,100.0
Shen,49.31
Shyvana,47.83
Singed,40.0
Sion,46.9
Sivir,50.57
Skarner,45.83
Sona,44.44
Soraka,50.65
Swain,33.33
Sylas,47.18
Syndra,52.23
TahmKench,50.46
Taliyah,44.03
Talon,57.69
Taric,47.76
Teemo,0.0
Thresh,52.57
Tristana,50.0
Trundle,50.78
Tryndamere,40.0
TwistedFate,56.82
Twitch,57.14
Udyr,0
Urgot,53.33
Varus,50.6
Vayne,46.15
Veigar,42.31
Velkoz,60.0
Vi,50.0
Viktor,48.99
Vladimir,51.56
Volibear,50.57
Warwick,0.0
Xayah,47.33
Xerath,44.44
XinZhao,42.86
Yasuo,50.79
Yone,0
Yorick,35.29
Yuumi,46.65
Zac,55.36
Zed,44.0
Ziggs,47.93
Zilean,47.83
Zoe,51.72
Zyra,10.0
